,unique,IsZoonotic,vFamily,vSubfamily,vGenus,virus_name_dc,Humany_to_Human,Hhsource,Hhnotes
1156,1156,1,Adenoviridae,NA,Mastadenovirus,human adenovirus b,yes,Carballal et al. 2003 BMC Pediatrics,
1161,1161,1,Adenoviridae,NA,Mastadenovirus,human adenovirus c,yes,,
1166,1166,1,Adenoviridae,NA,Mastadenovirus,human adenovirus d,yes,Matsushima et al. 2012 EID,shed in feces
1168,1168,1,Adenoviridae,NA,Mastadenovirus,human adenovirus e,yes,Viruses and Human Disease,
1171,1171,1,Adenoviridae,NA,Mastadenovirus,human adenovirus f,yes,Akihara et al. 2005 Arch Virol; Berencsi & Csire 2012,transplancental also possible
1175,1175,1,Coronaviridae,NA,Coronavirus,human coronavirus 29e,unknown,not in any texts,likely yes given human?
1178,1178,1,Picornaviridae,NA,Enterovirus,human enterovirus a,yes,Tee et al. 2009 International Journal of Infectious Diseases; Mani et al. 2012 Proc. Natl. Acad. Sci. Sect B. Biol. Sci.; Viruses and Human Disease,enterovirus 71
1181,1181,1,Picornaviridae,NA,Enterovirus,human enterovirus b,yes,Sun et al. 2013 PLoS ONE; Viruses and Human Disease,enterovirus 85
1185,1185,1,Picornaviridae,NA,Enterovirus,human enterovirus d,yes,Viruses and Human Disease,
1189,1189,1,Herpesviridae,Alphaherpesvirinae,Simplexvirus,human herpesvirus,yes,Manson's Tropical Diseases,
1210,1210,1,Paramyxoviridae,Pneumovirinae,Metapneumovirus,human metapneumovirus,yes,,
1213,1213,1,Caliciviridae,NA,Norovirus,human norovirus alphatron,yes,The Springer Index of Viruses,
1244,1244,1,Paramyxoviridae,Paramyxovirinae,Respirovirus,human parainfluenza virus,yes,CDC,
1256,1256,1,Picobirnaviridae,NA,Picobirnavirus,human picobirnavirus,yes,,
1270,1270,1,Paramyxoviridae,Pneumovirinae,Pneumovirus,human respiratory syncytial virus,yes,,
1284,1284,1,Flaviviridae,NA,Flavivirus,ilheus virus,no,,
1300,1300,1,Orthomyxoviridae,NA,Influenzavirus A,influenza a virus,yes,Hu et al. 2014 Eurosurviellance; Yang et al. 2007 EID; Kucharski et al. 2014 PLoS Current Outbreaks,but limited potential for extensive human-human transmission
1322,1322,1,Orthomyxoviridae,NA,Influenzavirus B,influenza b virus,yes,,
1325,1325,1,Orthomyxoviridae,NA,Influenzavirus C,influenza c virus,yes,,
1334,1334,1,Rhabdoviridae,NA,Vesiculovirus,isfahan virus,no,Marriott 2005 Archives of Virology; Tesh et al. 1977 Am J Trop Med Hyg,likely vector borne by sandflies
1356,1356,1,Flaviviridae,NA,Flavivirus,japanese encephalitis virus,no,,
1384,1384,1,Arenaviridae,NA,Arenavirus,junin virus,no,,
1398,1398,1,Bunyaviridae,NA,Orthobunyavirus,kairi virus,no,,
1400,1400,1,Bunyaviridae,NA,Unassigned,kasokero virus,unknown,Kalunda et al. 1986 AJTMH,
1412,1412,1,Flaviviridae,NA,Flavivirus,kokobera virus,no,,
1417,1417,1,Rhabdoviridae,NA,Nucleorhabdovirus,kotonkan virus,unknown,not in any texts,
1421,1421,1,Flaviviridae,NA,Flavivirus,koutango virus,unknown,Viral Infections of Humans: Epidemiology and Control,
1425,1425,1,Flaviviridae,NA,Flavivirus,kyasanur forest disease virus,no,,
1452,1452,1,Bunyaviridae,NA,Hantavirus,laguna negra virus,no,da Rosa et al. 2012 EID; ICTV 9th Report (2011),
1457,1457,1,Filoviridae,NA,Marburgvirus,lake victoria marburgvirus,no,,
1467,1467,1,Arenaviridae,NA,Arenavirus,lassa virus,yes,,
1479,1479,1,Reoviridae,Sedoreovirinae,Orbivirus,lebombo virus,unknown,not in any texts,
1482,1482,1,Picornaviridae,NA,Parechovirus,ljungan virus,yes,JŠŠskelŠinen et al. 2016 Epidemiology & Infection,strongly implied from serology data (author's interpretation)
1491,1491,1,Flaviviridae,NA,Flavivirus,louping ill virus,no,,
1506,1506,1,Arenaviridae,NA,Arenavirus,lymphocytic choriomeningitis virus,no,,
1524,1524,1,Arenaviridae,NA,Arenavirus,machupo virus,yes,,
1540,1540,1,Bunyaviridae,NA,Orthobunyavirus,marituba virus,no,,
1556,1556,1,Togaviridae,NA,Alphavirus,mayaro virus,no,,
1574,1574,1,Paramyxoviridae,Paramyxovirinae,Morbillivirus,measles virus,yes,,
1586,1586,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,menangle virus,no,,
1604,1604,1,Flaviviridae,NA,Flavivirus,modoc virus,unknown,Viral Infections of Humans: Epidemiology and Control,
1612,1612,1,Rhabdoviridae,NA,Lyssavirus,mokola virus,no,,
1619,1619,1,Poxviridae,Chordopoxvirinae,Orthopoxvirus,monkeypox virus,yes,,
1642,1642,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,mumps virus,yes,,
1676,1676,1,Paramyxoviridae,Pneumovirinae,Pneumovirus,murine pneumonia virus,no,Brock et al. 2012 Journal of Virology,absence of PVM-specific antibodies and restriction in nonhuman primates makes PVM unlikely to be a human pathogen
1687,1687,1,Flaviviridae,NA,Flavivirus,murray valley encephalitis virus,no,,
1701,1701,1,Togaviridae,NA,Alphavirus,ndumu virus,unknown,Lutomiah et al. 2014 Journal of Medical Entomology; Kokernot et al. 1961 AJTMH,
1705,1705,1,Bunyaviridae,NA,Hantavirus,new york virus,no,,
1708,1708,1,Paramyxoviridae,Paramyxovirinae,Henipavirus,nipah virus,yes,,
1731,1731,1,Caliciviridae,NA,Norovirus,norwalk virus,yes,Marks et al. 2003 Epidemiology & Infection; Marks et al. 2000 Epidemiology & Infection,airborne spread
1735,1735,1,Togaviridae,NA,Alphavirus,o'nyong nyong virus,yes,,
1745,1745,1,Flaviviridae,NA,Flavivirus,omsk hemorrhagic fever virus,no,R__ek et al. 2010 Lancet,
1750,1750,1,Poxviridae,Chordopoxvirinae,Parapoxvirus,orf virus,no,,
1755,1755,1,Bunyaviridae,NA,Orthobunyavirus,oriboca virus,unknown,Manson's Tropical Diseases,
1763,1763,1,Bunyaviridae,NA,Orthobunyavirus,oropouche virus,no,,
1766,1766,1,Reoviridae,Sedoreovirinae,Orbivirus,orungo virus,no,,
1792,1792,1,Reoviridae,Sedoreovirinae,Orbivirus,palyam virus,no,Mellor & Boorman 1994 Annals of Tropical Medicine and Parasitology,
1797,1797,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,parainfluenza virus,yes,SINGH-NAZ et al. 1990 Pediatric Infectious Disease Journal,
1802,1802,1,Bunyaviridae,NA,Orthobunyavirus,patois virus,unknown,not in any texts,
1836,1836,1,Arenaviridae,NA,Arenavirus,pichinde virus,no,BUCHMEIER et al. 1974 Infection & Immunity; Manson's Tropical Diseases,No antibodies were found among 14 persons working in the same laboratory area where studies on the virus were being carried out but who were not working with the virus.
1844,1844,1,Togaviridae,NA,Alphavirus,pixuna virus,no,OIE World Organization for Animal Health,not recorded for Venezuelan Equine Encephalitis Virus complex
1871,1871,1,Flaviviridae,NA,Flavivirus,powassan virus,no,,
1882,1882,1,Retroviridae,Orthoretrovirinae,Deltaretrovirus,primate t lymphotropic virus,yes,Wolfe et al. 2005 PNAS,
1907,1907,1,Poxviridae,Chordopoxvirinae,Parapoxvirus,pseudocowpox virus,unknown,Usme-Ciro et al. 2017 EID; The Dictionary of Virology,"most likely contact with infected livestock during milking, no evidence yet of h-h transmission"
1911,1911,1,Bunyaviridae,NA,Phlebovirus,punta toro virus,unknown,,
1913,1913,1,Bunyaviridae,NA,Hantavirus,puumala virus,yes,,
1933,1933,1,Rhabdoviridae,NA,Lyssavirus,rabies virus,no,,
2778,2778,1,Filoviridae,NA,Ebolavirus,reston ebolavirus,no,Dalgard et al. 1992 Laboratory Animal Science; CDC; Rewar & Mirdha 2014 Annals of Global Health,apathogenic in humans
2786,2786,1,Bunyaviridae,NA,Phlebovirus,rift valley fever virus,no,,
2820,2820,1,Flaviviridae,NA,Flavivirus,rio bravo virus,unknown,CDC; The Molecular Epidemiology of Human Viruses,
2840,2840,1,Bunyaviridae,NA,Hantavirus,rio mamore virus,no,ICTV 9th Report (2011); de Oliviera et al. 2014 EID,supposedly only Andes virus has a case of human-to-human transmission out of the hantaviruses
2847,2847,1,Togaviridae,NA,Alphavirus,ross river virus,yes,,
2853,2853,1,Reoviridae,Sedoreovirinae,Rotavirus,rotavirus a,yes,,
2860,2860,1,Reoviridae,Sedoreovirinae,Rotavirus,rotavirus b,yes,,
2864,2864,1,Reoviridae,Sedoreovirinae,Rotavirus,rotavirus c,no,,
2885,2885,1,Bunyaviridae,NA,Phlebovirus,sandfly fever naples virus,no,Konstantinou et al. 2007 Travel Medicine and Infectious Disease; Depaquit et al. 2010 EuroSurviellance,
2887,2887,1,Bunyaviridae,NA,Phlebovirus,sandfly fever sicilian virus,no,,
2893,2893,1,Poxviridae,Chordopoxvirinae,Parapoxvirus,sealpox virus,no,Roess et al 2011 EID,UNLIKELY
2895,2895,1,Togaviridae,NA,Alphavirus,semliki forest virus,no,,
2912,2912,1,Bunyaviridae,NA,Hantavirus,seoul virus,no,,
2922,2922,1,Coronaviridae,Coronavirinae,Betacoronavirus,severe acute respiratory syndrome related coronavirus,yes,CDC,
2935,2935,1,Bunyaviridae,NA,Orthobunyavirus,shamonda virus,unknown,Reusken et al. 2012 EID; not in texts,
2941,2941,1,Bunyaviridae,NA,Orthobunyavirus,shuni virus,unknown,van Eeden et al 2014 EID; not in texts,
2952,2952,1,Retroviridae,Spumaretrovirinae,Spumavirus,simian foamy virus,no,,
3016,3016,1,Parvoviridae,Parvovirinae,Erythrovirus,simian parvovirus,unknown,Brown et al. 2004 J Infectious Disease; Palmer et al. 2005 BMJ,handlers of macaques exposed
3018,3018,1,Paramyxoviridae,Paramyxovirinae,Respirovirus,simian virus 0,unknown,not in any texts,
3028,3028,1,Bunyaviridae,NA,Hantavirus,sin nombre virus,no,,
3043,3043,1,Togaviridae,NA,Alphavirus,sindbis virus,no,,
3060,3060,1,Flaviviridae,NA,Flavivirus,st. louis encephalitis virus,no,,
3124,3124,1,Herpesviridae,Alphaherpesvirinae,Varicellovirus,suid herpesvirus,unknown, Tischer & Osterrieder 2011 Vet Micro,anecdotal reports in humans
3138,3138,1,Bunyaviridae,NA,Orthobunyavirus,tacaiuma virus,no,,
3141,3141,1,Arenaviridae,NA,Arenavirus,tacaribe virus,no,Gonzales et al. 2007 Bat-Borne Viral Disease; Carrion Jr. & Patterson 2011 Human Vaccines,"strict virus-host association, only isolated from A. jamaicensis bats"
3167,3167,1,Poxviridae,Chordopoxvirinae,Yatapoxvirus,tanapox virus,no,,
3171,3171,1,Flaviviridae,NA,Flavivirus,tembusu virus,no,,
3174,3174,1,Bunyaviridae,NA,Hantavirus,thailand virus,unknown,,
3184,3184,1,Bunyaviridae,NA,Nairovirus,thiafora virus,unknown,Dilcher et al. 2012 Virus Genes; not in texts,mode of transmission for closely related Erve virus remains unknown
3192,3192,1,Orthomyxoviridae,NA,Thogotovirus,thogoto virus,no,,
3200,3200,1,Flaviviridae,NA,Flavivirus,tick borne encephalitis virus,no,,
3209,3209,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,tioman virus,unknown,not in any texts; Chua et al. 2001 Virology,
3215,3215,1,Anelloviridae,NA,Anellovirus,torque teno virus,unknown, Wigginton et al. 2015 Env Sci Water Research; Chu et al. 2011 Mol Med,
3228,3228,1,Bunyaviridae,NA,Unassigned,trubanaman virus,unknown,Johansen et al. 2004 Australian Journal of Zoology,
3238,3238,1,Bunyaviridae,NA,Hantavirus,tula virus,no,,
3253,3253,1,Togaviridae,NA,Alphavirus,una virus,no,,
3257,3257,1,Flaviviridae,NA,Flavivirus,usutu virus,no,,
3259,3259,1,Bunyaviridae,NA,Phlebovirus,uukuniemi virus,no,,
3263,3263,1,Poxviridae,Chordopoxvirinae,Orthopoxvirus,vaccinia virus,yes,Lane et al. 2003 Clinical Infectious Disease,
3274,3274,1,Togaviridae,NA,Alphavirus,venezuelan equine encephalitis virus,no,,
3319,3319,1,Rhabdoviridae,NA,Vesiculovirus,vesicular stomatitis alagoas virus,no,,
3322,3322,1,Rhabdoviridae,NA,Vesiculovirus,vesicular stomatitis indiana virus,unknown,not in any texts,
3381,3381,1,Rhabdoviridae,NA,Vesiculovirus,vesicular stomatitis new jersey virus,unknown,The Dictionary of Virology,
3416,3416,1,Flaviviridae,NA,Flavivirus,wesselsbron virus,no,,
3428,3428,1,Flaviviridae,NA,Flavivirus,west nile virus,no,,
3453,3453,1,Togaviridae,NA,Alphavirus,western equine encephalitis virus,no,,
3468,3468,1,Arenaviridae,NA,Arenavirus,whitewater arroyo virus,unknown,,
3498,3498,1,Retroviridae,Orthoretrovirinae,Gammaretrovirus,woolly monkey sarcoma virus,unknown,not in any texts,
3500,3500,1,Bunyaviridae,NA,Orthobunyavirus,wyeomyia virus,no,The Dictionary of Virology,not reported to cause disease in humans
3502,3502,1,Poxviridae,Chordopoxvirinae,Yatapoxvirus,yaba monkey tumor virus,no,,
3510,3510,1,Flaviviridae,NA,Flavivirus,yellow fever virus,yes,,
3561,3561,1,Filoviridae,NA,Ebolavirus,zaire ebolavirus,yes,Liu et al. 2015 Mil Med Res; Osterholm et al. 2015 mBio,
3575,3575,1,Flaviviridae,NA,Flavivirus,zika virus,yes,,
